ID,date,interactionType_code,method,summary,description,customer_customerID
11111111-1111-1111-1111-111111111111,2026-06-10T14:30:00Z,Order,Website,Bought a new laptop,Customer ordered a high-end gaming laptop.,33333333-3333-3333-3333-333333333333
22222222-2222-2222-2222-222222222222,2026-06-11T09:15:00Z,Support,Phone,Inquiry about phone,Customer called to ask about phone trade-in options.,44444444-4444-4444-4444-444444444444
33333333-aaaa-1111-1111-111111111111,2026-06-15T10:00:00Z,Feedback,Email,Left product review,Customer emailed feedback about recent laptop purchase.,33333333-3333-3333-3333-333333333333
44444444-aaaa-2222-2222-222222222222,2026-06-20T16:45:00Z,Support,Chat,Complained about delivery delay,Customer contacted support chat regarding late shipment.,44444444-4444-4444-4444-444444444444
55555555-aaaa-3333-3333-333333333333,2025-12-05T11:20:00Z,Order,Website,Purchased headphones,Last order was placed six months ago.,55555555-5555-5555-5555-555555555555
66666666-aaaa-4444-4444-444444444444,2026-06-18T13:10:00Z,Order,Website,Bought wireless earbuds,Customer ordered premium accessories bundle.,66666666-6666-6666-6666-666666666666
77777777-aaaa-5555-5555-555555555555,2026-06-22T08:30:00Z,Feedback,Email,Praised product quality,Customer sent positive feedback via email.,66666666-6666-6666-6666-666666666666
88888888-aaaa-6666-6666-666666666666,2026-06-19T15:00:00Z,Order,Website,Bought smartphone,Customer purchased latest flagship smartphone.,77777777-7777-7777-7777-777777777777
99999999-aaaa-7777-7777-777777777777,2026-06-21T09:45:00Z,Support,Phone,Asked about warranty,Customer called to clarify warranty terms.,77777777-7777-7777-7777-777777777777
aaaaaaaa-aaaa-8888-8888-888888888888,2026-01-10T12:00:00Z,Feedback,Email,Reported low rating experience,Customer expressed dissatisfaction with service.,88888888-8888-8888-8888-888888888888
